浙江组播源,#genre#
来自浙江电信(183.129.43.48:4022)的组播源共有320个频道：
浙江卫视高清,http://183.129.43.48:4022/udp/233.50.201.100:5140
浙江钱江高清,http://183.129.43.48:4022/udp/233.50.201.132:5140
浙江生活高清,http://183.129.43.48:4022/udp/233.50.201.133:5140
浙江教育高清,http://183.129.43.48:4022/udp/233.50.201.134:5140
浙江民生高清,http://183.129.43.48:4022/udp/233.50.201.136:5140
浙江新闻高清,http://183.129.43.48:4022/udp/233.50.201.137:5140
浙江少儿高清,http://183.129.43.48:4022/udp/233.50.201.138:5140
浙江纪录高清,http://183.129.43.48:4022/udp/233.50.202.25:5140
杭州综合高清,http://183.129.43.48:4022/udp/233.50.201.173:5140
杭州明珠高清,http://183.129.43.48:4022/udp/233.50.201.174:5140
杭州生活高清,http://183.129.43.48:4022/udp/233.50.201.175:5140
杭州影视高清,http://183.129.43.48:4022/udp/233.50.201.176:5140
杭州青少高清,http://183.129.43.48:4022/udp/233.50.201.177:5140
杭州导视高清,http://183.129.43.48:4022/udp/233.50.201.182:5140
宁波综合高清,http://183.129.43.48:4022/udp/233.50.201.168:5140
宁波生活高清,http://183.129.43.48:4022/udp/233.50.201.178:5140
宁波文体高清,http://183.129.43.48:4022/udp/233.50.201.179:5140
宁波影视高清,http://183.129.43.48:4022/udp/233.50.201.180:5140
宁波少儿高清,http://183.129.43.48:4022/udp/233.50.201.181:5140
来自浙江电信(183.129.43.48:4022)的组播源共有320个频道：
温州综合高清,http://183.129.43.48:4022/udp/233.50.201.87:5140
绍兴综合高清,http://183.129.43.48:4022/udp/233.50.201.156:5140
衢州综合高清,http://183.129.43.48:4022/udp/233.50.202.11:5140
衢州公共高清,http://183.129.43.48:4022/udp/233.50.202.12:5140
丽水新闻综合,http://183.129.43.48:4022/udp/233.50.201.162:5140
中国蓝直播高清,http://183.129.43.48:4022/udp/233.50.201.108:5140
浙江之声广播,http://183.129.43.48:4022/udp/233.50.201.79:5140
浙江新闻广播,http://183.129.43.48:4022/udp/233.50.201.80:5140
经济频道广播,http://183.129.43.48:4022/udp/233.50.201.81:5140
音乐调频广播,http://183.129.43.48:4022/udp/233.50.201.82:5140
交通之声广播,http://183.129.43.48:4022/udp/233.50.201.83:5140
旅游之声广播,http://183.129.43.48:4022/udp/233.50.201.84:5140
城市之声广播,http://183.129.43.48:4022/udp/233.50.201.85:5140
民生资讯广播,http://183.129.43.48:4022/udp/233.50.201.86:5140
CCTV-1高清,http://183.129.43.48:4022/udp/233.50.200.99:5140
CCTV-1高清,http://183.129.43.48:4022/udp/233.50.200.130:5140
CCTV-1高清,http://183.129.43.48:4022/udp/233.50.200.143:5140
CCTV-1高清,http://183.129.43.48:4022/udp/233.50.201.118:5140
CCTV-1高清,http://183.129.43.48:4022/udp/233.50.201.222:5140
来自浙江电信(183.129.43.48:4022)的组播源共有320个频道：
CCTV-2高清,http://183.129.43.48:4022/udp/233.50.200.25:5140
CCTV-2高清,http://183.129.43.48:4022/udp/233.50.200.100:5140
CCTV-2高清,http://183.129.43.48:4022/udp/233.50.201.119:5140
CCTV-3高清,http://183.129.43.48:4022/udp/233.50.200.107:5140
CCTV-3高清,http://183.129.43.48:4022/udp/233.50.201.196:5140
CCTV-4高清,http://183.129.43.48:4022/udp/233.50.200.101:5140
CCTV-5高清,http://183.129.43.48:4022/udp/233.50.200.108:5140
CCTV-5高清,http://183.129.43.48:4022/udp/233.50.201.197:5140
CCTV-5+高清,http://183.129.43.48:4022/udp/233.50.201.220:5140
CCTV-6高清,http://183.129.43.48:4022/udp/233.50.200.109:5140
CCTV-6高清,http://183.129.43.48:4022/udp/233.50.201.198:5140
CCTV-7高清,http://183.129.43.48:4022/udp/233.50.200.24:5140
CCTV-7高清,http://183.129.43.48:4022/udp/233.50.200.102:5140
CCTV-7高清,http://183.129.43.48:4022/udp/233.50.201.120:5140
CCTV-8高清,http://183.129.43.48:4022/udp/233.50.200.110:5140
CCTV-8高清,http://183.129.43.48:4022/udp/233.50.201.199:5140
CCTV-9高清,http://183.129.43.48:4022/udp/233.50.200.23:5140
CCTV-9高清,http://183.129.43.48:4022/udp/233.50.201.121:5140
CCTV-10高清,http://183.129.43.48:4022/udp/233.50.200.22:5140
CCTV-10高清,http://183.129.43.48:4022/udp/233.50.201.122:5140
来自浙江电信(183.129.43.48:4022)的组播源共有320个频道：
CCTV-11高清,http://183.129.43.48:4022/udp/233.50.201.11:5140
CCTV-12高清,http://183.129.43.48:4022/udp/233.50.200.21:5140
CCTV-12高清,http://183.129.43.48:4022/udp/233.50.201.123:5140
CCTV-13高清,http://183.129.43.48:4022/udp/233.50.200.111:5140
CCTV-13高清,http://183.129.43.48:4022/udp/233.50.201.246:5140
CCTV-14高清,http://183.129.43.48:4022/udp/233.50.200.103:5140
CCTV-14高清,http://183.129.43.48:4022/udp/233.50.200.20:5140
CCTV-14高清,http://183.129.43.48:4022/udp/233.50.201.124:5140
CCTV-16高清,http://183.129.43.48:4022/udp/233.50.200.112:5140
CCTV-16高清,http://183.129.43.48:4022/udp/233.50.201.192:5140
CCTV-17高清,http://183.129.43.48:4022/udp/233.50.200.113:5140
CCTV-16 4K,http://183.129.43.48:4022/udp/233.50.201.63:5140
凤凰中文高清,http://183.129.43.48:4022/udp/233.50.200.42:5140
凤凰中文高清,http://183.129.43.48:4022/udp/233.50.200.191:5140
凤凰资讯高清,http://183.129.43.48:4022/udp/233.50.200.192:5140
天津卫视高清,http://183.129.43.48:4022/udp/233.50.200.104:5140
天津卫视高清,http://183.129.43.48:4022/udp/233.50.201.104:5140
河北卫视高清,http://183.129.43.48:4022/udp/233.50.200.105:5140
河北卫视高清,http://183.129.43.48:4022/udp/233.50.201.140:5140
安徽卫视高清,http://183.129.43.48:4022/udp/233.50.200.106:5140
来自浙江电信(183.129.43.48:4022)的组播源共有320个频道：
安徽卫视高清,http://183.129.43.48:4022/udp/233.50.201.113:5140
重庆卫视高清,http://183.129.43.48:4022/udp/233.50.200.114:5140
云南卫视高清,http://183.129.43.48:4022/udp/233.50.200.115:5140
四川卫视高清,http://183.129.43.48:4022/udp/233.50.200.118:5140
四川卫视高清,http://183.129.43.48:4022/udp/233.50.201.139:5140
江西卫视高清,http://183.129.43.48:4022/udp/233.50.200.119:5140
江西卫视高清,http://183.129.43.48:4022/udp/233.50.201.145:5140
江苏卫视高清,http://183.129.43.48:4022/udp/233.50.200.144:5140
江苏卫视高清,http://183.129.43.48:4022/udp/233.50.201.106:5140
